site	year	env	plot	Ntrt	rep	dm
Ros	2009	R09	103	0	1	2.38
Ros	2009	R09	104	224	1	6.7
Ros	2009	R09	105	168	1	3.2
Ros	2009	R09	106	168	1	4.16
Ros	2009	R09	107	224	1	4.46
Ros	2009	R09	201	56	1	3.58
Ros	2009	R09	202	224	1	2.96
Ros	2009	R09	203	56	1	3.07
Ros	2009	R09	204	0	1	2.32
Ros	2009	R09	205	224	1	3.76
Ros	2009	R09	206	168	1	4.91
Ros	2009	R09	207	56	1	3.36
Ros	2009	R09	301	168	1	5.68
Ros	2009	R09	302	224	1	2.7
Ros	2009	R09	303	0	1	1.97
Ros	2009	R09	304	112	1	4.54
Ros	2009	R09	305	168	1	6.46
Ros	2009	R09	306	0	1	3.15
Ros	2009	R09	307	112	1	4.83
Ros	2009	R09	401	0	1	2.7
Ros	2009	R09	402	112	1	5.18
Ros	2009	R09	403	112	1	5.52
Ros	2009	R09	404	56	1	4.16
Ros	2009	R09	501	168	2	3.9
Ros	2009	R09	502	112	2	4.91
Ros	2009	R09	503	0	2	1.55
Ros	2009	R09	504	168	2	3.55
Ros	2009	R09	505	112	2	3.1
Ros	2009	R09	506	56	2	4.22
Ros	2009	R09	507	168	2	2.88
Ros	2009	R09	601	224	2	6.11
Ros	2009	R09	602	224	2	3.74
Ros	2009	R09	603	112	2	3.6
Ros	2009	R09	604	224	2	4.43
Ros	2009	R09	605	0	2	3.31
Ros	2009	R09	606	0	2	4.06
Ros	2009	R09	607	56	2	4.03
Ros	2009	R09	701	112	2	5.39
Ros	2009	R09	702	56	2	3.84
Ros	2009	R09	703	0	2	2.17
Ros	2009	R09	704	224	2	4.14
Ros	2009	R09	705	224	2	3.36
Ros	2009	R09	706	56	2	4.48
Ros	2009	R09	707	56	2	2.46
Ros	2009	R09	801	0	2	2.48
Ros	2009	R09	802	168	2	4.8
Ros	2009	R09	803	168	2	4.38
Ros	2009	R09	804	112	2	4.32
Ros	2009	R09	901	56	3	5.79
Ros	2009	R09	902	168	3	4.8
Ros	2009	R09	903	0	3	2.51
Ros	2009	R09	904	224	3	5.82
Ros	2009	R09	905	56	3	5.55
Ros	2009	R09	906	168	3	5.68
Ros	2009	R09	907	112	3	4.91
Ros	2009	R09	1001	224	3	3.74
Ros	2009	R09	1002	0	3	2.8
Ros	2009	R09	1003	112	3	4.54
Ros	2009	R09	1004	168	3	2.75
Ros	2009	R09	1005	56	3	4.7
Ros	2009	R09	1006	224	3	3.95
Ros	2009	R09	1007	0	3	2.13
Ros	2009	R09	1101	0	3	1.76
Ros	2009	R09	1102	112	3	3.2
Ros	2009	R09	1103	224	3	4.06
Ros	2009	R09	1104	112	3	3.55
Ros	2009	R09	1105	168	3	4.24
Ros	2009	R09	1106	112	3	4.08
Ros	2009	R09	1107	224	3	4.19
Ros	2009	R09	1201	56	3	3.98
Ros	2009	R09	1202	0	3	1.81
Ros	2009	R09	1203	168	3	4.06
Ros	2009	R09	1204	56	3	2.94
Ros	2009	R09	1301	0	4	2.3
Ros	2009	R09	1302	224	4	4.7
Ros	2009	R09	1303	224	4	5.26
Ros	2009	R09	1304	56	4	4.56
Ros	2009	R09	1305	112	4	4.54
Ros	2009	R09	1306	224	4	3.84
Ros	2009	R09	1307	112	4	4.51
Ros	2009	R09	1401	56	4	3.87
Ros	2009	R09	1402	224	4	4.4
Ros	2009	R09	1403	168	4	3.31
Ros	2009	R09	1404	112	4	2.25
Ros	2009	R09	1405	0	4	2.4
Ros	2009	R09	1406	168	4	3.28
Ros	2009	R09	1407	56	4	3.66
Ros	2009	R09	1501	112	4	4.06
Ros	2009	R09	1502	168	4	2.83
Ros	2009	R09	1503	56	4	3.5
Ros	2009	R09	1504	56	4	2.8
Ros	2009	R09	1505	0	4	1.71
Ros	2009	R09	1506	168	4	4.11
Ros	2009	R09	1507	0	4	1.52
Ros	2009	R09	1601	0	4	2.48
Ros	2009	R09	1602	224	4	3.71
Ros	2009	R09	1603	168	4	4
Ros	2009	R09	1604	112	4	4.19
